date component trends level seasonal
2000-06-04 14.08 13.92 -3.79 0.20
2000-06-05 10.62 13.91 -3.79 0.20
2000-06-06 13.49 13.90 -3.79 0.20
2000-06-07 8.00 13.89 -3.79 0.20
2000-06-08 11.55 13.88 -3.79 0.20
2000-06-09 13.07 13.87 -3.79 0.20
2000-06-10 6.14 13.86 -3.79 0.20
2000-06-11 9.76 13.85 -3.79 0.20
2000-06-12 12.01 13.84 -3.79 0.20
2000-06-13 10.66 13.83 -3.79 0.20
2000-06-14 11.79 13.82 -3.79 0.19
2000-06-15 9.19 13.81 -3.79 0.19
2000-06-16 11.13 13.80 -3.79 0.19
2000-06-17 8.56 13.79 -3.79 0.19
2000-06-18 10.04 13.78 -3.79 0.19
2000-06-19 7.53 13.77 -3.79 0.19
2000-06-20 12.60 13.76 -3.79 0.19
2000-06-21 18.92 13.75 -3.79 0.19
2000-06-22 5.60 13.74 -3.79 0.18
2000-06-23 7.91 13.73 -3.79 0.18
2000-06-24 7.97 13.72 -3.79 0.18
2000-06-25 15.21 13.71 -3.79 0.18
2000-06-26 6.09 13.70 -3.79 0.18
2000-06-27 7.44 13.69 -3.79 0.17
2000-06-28 8.68 13.68 -3.79 0.17
2000-06-29 11.35 13.67 -3.79 0.17
2000-06-30 10.52 13.66 -3.79 0.16
2000-07-01 7.11 13.65 -3.79 0.16
2000-07-02 11.96 13.64 -3.79 0.16
2000-07-03 8.21 13.63 -3.79 0.15
2000-07-04 8.20 13.62 -3.79 0.15
2000-07-05 7.77 13.61 -3.79 0.15
2000-07-06 11.50 13.60 -3.79 0.14
2000-07-07 10.77 13.59 -3.79 0.14
2000-07-08 5.24 13.58 -3.79 0.13
2000-07-09 7.52 13.57 -3.79 0.13
2000-07-10 7.36 13.56 -3.79 0.12
2000-07-11 7.53 13.55 -3.79 0.12
2000-07-12 9.31 13.54 -3.79 0.11
2000-07-13 12.35 13.53 -3.79 0.11
2000-07-14 7.07 13.52 -3.79 0.10
2000-07-15 7.52 13.51 -3.79 0.10
2000-07-17 11.41 13.50 -3.79 0.08
2000-07-18 10.04 13.49 -3.79 0.08
2000-07-20 11.88 13.48 -3.79 0.06
2000-07-21 7.28 13.47 -3.79 0.06
2000-07-22 7.18 13.46 -3.79 0.05
2000-07-23 9.87 13.45 -3.79 0.04
2000-07-24 9.29 13.44 -3.79 0.03
2000-07-25 9.73 13.43 -3.79 0.02
2000-07-26 9.60 13.42 -3.79 0.02
2000-07-27 7.87 13.41 -3.79 0.01
2000-07-28 5.78 13.40 -3.79 -0.00
2000-07-29 8.78 13.39 -3.79 -0.01
2000-07-30 10.49 13.38 -3.79 -0.02
2000-07-31 9.86 13.37 -3.79 -0.03
2000-08-01 9.02 13.36 -3.79 -0.04
2000-08-02 6.95 13.35 -3.79 -0.05
2000-08-03 8.84 13.34 -3.79 -0.06
2000-08-04 8.65 13.33 -3.79 -0.07
2000-08-05 10.75 13.32 -3.79 -0.08
2000-08-06 15.14 13.31 -3.79 -0.09
2000-08-07 11.71 13.30 -3.79 -0.11
2000-08-08 12.12 13.30 -3.79 -0.12
2000-08-09 6.88 13.29 -3.79 -0.13
2000-08-10 3.20 13.28 -3.79 -0.14
2000-08-11 10.32 13.27 -3.79 -0.15
2000-08-12 8.57 13.26 -3.79 -0.16
2000-08-13 8.72 13.25 -3.79 -0.18
2000-08-14 9.00 13.24 -3.79 -0.19
2000-08-15 9.64 13.23 -3.79 -0.20
2000-08-16 6.08 13.22 -3.79 -0.21
2000-08-17 10.67 13.21 -3.79 -0.23
2000-08-18 8.77 13.20 -3.79 -0.24
2000-08-19 9.89 13.19 -3.79 -0.25
2000-08-20 8.59 13.18 -3.79 -0.27
2000-08-21 8.50 13.17 -3.79 -0.28
2000-08-22 11.38 13.16 -3.79 -0.29
2000-08-23 10.29 13.15 -3.79 -0.31
2000-08-24 13.70 13.14 -3.79 -0.32
2000-08-25 9.73 13.13 -3.79 -0.33
2000-08-26 7.43 13.12 -3.79 -0.35
2000-08-27 8.27 13.11 -3.79 -0.36
2000-08-28 8.57 13.10 -3.79 -0.37
2000-08-29 12.08 13.09 -3.79 -0.39
2000-08-30 11.52 13.08 -3.79 -0.40
2000-08-31 9.46 13.07 -3.79 -0.41
2000-09-01 9.40 13.06 -3.79 -0.43
2000-09-03 9.71 13.05 -3.79 -0.46
2000-09-04 10.01 13.04 -3.79 -0.47
2000-09-05 9.05 13.03 -3.79 -0.48
2000-09-06 7.45 13.02 -3.79 -0.50
2000-09-07 10.43 13.01 -3.79 -0.51
2000-09-08 7.93 13.00 -3.79 -0.52
2000-09-10 11.98 12.99 -3.79 -0.55
2000-09-11 9.66 12.98 -3.79 -0.56
2000-09-12 7.92 12.97 -3.79 -0.57
2000-09-13 5.15 12.96 -3.79 -0.59
2000-09-14 7.16 12.95 -3.79 -0.60
2000-09-15 8.33 12.94 -3.79 -0.61
2000-09-16 11.14 12.93 -3.79 -0.62
2000-09-17 7.86 12.92 -3.79 -0.63
2000-09-18 7.98 12.91 -3.79 -0.65
2000-09-19 11.92 12.90 -3.79 -0.66
2000-09-20 8.10 12.89 -3.79 -0.67
2000-09-21 8.35 12.88 -3.79 -0.68
2000-09-22 9.56 12.87 -3.79 -0.69
2000-09-23 9.93 12.86 -3.79 -0.70
2000-09-24 9.38 12.85 -3.79 -0.71
2000-09-25 10.37 12.84 -3.79 -0.72
2000-09-26 7.63 12.83 -3.79 -0.73
2000-09-27 8.87 12.82 -3.79 -0.74
2000-09-28 8.61 12.81 -3.79 -0.75
2000-09-29 11.25 12.80 -3.79 -0.75
2000-09-30 9.13 12.79 -3.79 -0.76
2000-10-02 8.82 12.78 -3.79 -0.78
2000-10-03 7.61 12.77 -3.79 -0.79
2000-10-04 11.36 12.76 -3.79 -0.79
2000-10-05 11.07 12.75 -3.79 -0.80
2000-10-06 8.49 12.74 -3.79 -0.80
2000-10-07 11.08 12.73 -3.79 -0.81
2000-10-08 10.14 12.72 -3.79 -0.81
2000-10-09 12.74 12.71 -3.79 -0.82
2000-10-10 11.72 12.70 -3.79 -0.82
2000-10-11 9.79 12.69 -3.79 -0.83
2000-10-12 9.49 12.68 -3.79 -0.83
2000-10-13 9.37 12.67 -3.79 -0.83
2000-10-14 6.16 12.66 -3.79 -0.84
2000-10-15 12.04 12.65 -3.79 -0.84
2000-10-16 11.12 12.64 -3.79 -0.84
2000-10-17 7.30 12.63 -3.79 -0.84
2000-10-18 8.77 12.62 -3.79 -0.84
2000-10-20 9.67 12.61 -3.79 -0.84
2000-10-21 8.39 12.60 -3.79 -0.84
2000-10-23 10.09 12.59 -3.79 -0.84
2000-10-24 11.53 12.58 -3.79 -0.84
2000-10-25 7.04 12.57 -3.79 -0.84
2000-10-26 5.00 12.56 -3.79 -0.83
2000-10-27 7.49 12.55 -3.79 -0.83
2000-10-29 3.37 12.54 -3.79 -0.82
2000-10-30 7.55 12.53 -3.79 -0.82
2000-10-31 9.17 12.52 -3.79 -0.81
2000-11-01 8.40 12.51 -3.79 -0.81
2000-11-02 7.21 12.50 -3.79 -0.80
2000-11-03 17.71 12.49 -3.79 -0.79
2000-11-05 8.64 12.48 -3.79 -0.78
2000-11-06 4.84 12.47 -3.79 -0.77
2000-11-07 8.82 12.46 -3.79 -0.76
2000-11-08 8.09 12.45 -3.79 -0.75
2000-11-09 10.03 12.44 -3.79 -0.74
2000-11-10 6.49 12.43 -3.79 -0.73
2000-11-11 10.32 12.42 -3.79 -0.72
2000-11-12 6.63 12.41 -3.79 -0.71
2000-11-13 8.49 12.40 -3.79 -0.70
2000-11-14 5.89 12.39 -3.79 -0.69
2000-11-15 7.93 12.38 -3.79 -0.68
2000-11-16 8.77 12.37 -3.79 -0.67
2000-11-17 10.42 12.36 -3.79 -0.65
2000-11-18 7.07 12.35 -3.79 -0.64
2000-11-19 9.44 12.34 -3.79 -0.63
2000-11-20 9.68 12.33 -3.79 -0.61
2000-11-21 8.71 12.32 -3.79 -0.60
2000-11-22 9.40 12.31 -3.79 -0.58
2000-11-23 6.81 12.30 -3.79 -0.57
2000-11-24 7.98 12.29 -3.79 -0.55
2000-11-25 9.48 12.28 -3.79 -0.54
2000-11-26 1.59 12.27 -3.79 -0.52
2000-11-27 2.01 12.26 -3.79 -0.51
2000-11-28 6.34 12.25 -3.79 -0.49
2000-11-29 3.47 12.24 -3.79 -0.47
2000-11-30 3.27 12.23 -3.79 -0.46
2000-12-01 9.71 12.22 -3.79 -0.44
2000-12-02 8.04 12.21 -3.79 -0.42
2000-12-03 7.66 12.20 -3.79 -0.40
2000-12-04 8.29 12.19 -3.79 -0.39
2000-12-05 10.64 12.18 -3.79 -0.37
2000-12-06 7.07 12.17 -3.79 -0.35
2000-12-07 10.38 12.16 -3.79 -0.33
2000-12-08 9.47 12.15 -3.79 -0.31
2000-12-09 6.55 12.14 -3.79 -0.29
2000-12-10 7.29 12.13 -3.79 -0.27
2000-12-11 8.73 12.13 -3.79 -0.26
2000-12-12 7.73 12.12 -3.79 -0.24
2000-12-13 8.18 12.11 -3.79 -0.22
2000-12-14 9.80 12.10 -3.79 -0.20
2000-12-15 10.31 12.09 -3.79 -0.18
2000-12-16 9.47 12.08 -3.79 -0.16
2000-12-17 8.03 12.07 -3.79 -0.14
2000-12-18 7.23 12.06 -3.79 -0.12
2000-12-19 9.17 12.05 -3.79 -0.10
2000-12-20 5.60 12.04 -3.79 -0.08
2000-12-22 6.24 12.03 -3.79 -0.04
2000-12-23 5.91 12.02 -3.79 -0.02
2000-12-24 6.82 12.01 -3.79 -0.00
2000-12-25 7.27 12.00 -3.79 0.02
2000-12-26 6.78 11.99 -3.79 0.04
2000-12-27 9.38 11.98 -3.79 0.06
2000-12-28 6.34 11.97 -3.79 0.08
2000-12-29 8.76 11.96 -3.79 0.10
2000-12-30 5.94 11.95 -3.79 0.11
2001-01-02 4.95 11.94 -3.79 0.17
