date component trends level seasonal
2010-07-01 0.00 -16.28 18.62 3.68
2010-07-02 5.27 -16.35 18.62 3.38
2010-07-03 4.40 -16.43 18.62 3.07
2010-07-04 -5.64 -16.51 18.62 2.77
2010-07-05 0.63 -16.59 18.62 2.46
2010-07-06 7.38 -16.66 18.62 2.16
2010-07-07 5.16 -16.74 18.62 1.85
2010-07-08 1.75 -16.82 18.62 1.55
2010-07-09 6.44 -16.90 18.62 1.24
2010-07-10 8.25 -16.97 18.62 0.93
2010-07-11 0.71 -17.05 18.62 0.63
2010-07-12 5.02 -17.13 18.62 0.32
2010-07-13 -1.69 -17.21 18.62 0.02
2010-07-14 5.29 -17.29 18.62 -0.29
2010-07-15 6.85 -17.36 18.62 -0.59
2010-07-16 8.28 -17.44 18.62 -0.89
2010-07-18 -8.05 -17.52 18.62 -1.50
2010-07-19 5.64 -17.60 18.62 -1.80
2010-07-20 3.34 -17.67 18.62 -2.09
2010-07-21 -3.79 -17.75 18.62 -2.39
2010-07-22 5.11 -17.83 18.62 -2.68
2010-07-23 -5.23 -17.91 18.62 -2.97
2010-07-24 -4.81 -17.99 18.62 -3.26
2010-07-25 -8.73 -18.06 18.62 -3.55
2010-07-26 -4.25 -18.14 18.62 -3.83
2010-07-27 7.90 -18.22 18.62 -4.11
2010-07-28 -3.15 -18.30 18.62 -4.39
2010-07-29 -4.05 -18.37 18.62 -4.66
2010-07-30 -2.06 -18.45 18.62 -4.93
2010-07-31 -6.63 -18.53 18.62 -5.20
2010-08-01 -2.20 -18.61 18.62 -5.46
2010-08-02 -8.06 -18.68 18.62 -5.72
2010-08-03 -1.25 -18.76 18.62 -5.98
2010-08-04 -1.29 -18.84 18.62 -6.23
2010-08-05 -10.82 -18.92 18.62 -6.48
2010-08-06 -3.67 -19.00 18.62 -6.73
2010-08-07 -11.05 -19.07 18.62 -6.97
2010-08-08 0.23 -19.15 18.62 -7.20
2010-08-09 7.93 -19.23 18.62 -7.43
2010-08-11 -5.42 -19.31 18.62 -7.88
2010-08-12 -19.88 -19.38 18.62 -8.10
2010-08-13 -8.35 -19.46 18.62 -8.31
2010-08-14 4.88 -19.54 18.62 -8.51
2010-08-15 -17.82 -19.62 18.62 -8.72
2010-08-16 -9.23 -19.70 18.62 -8.91
2010-08-17 0.08 -19.77 18.62 -9.10
2010-08-18 -10.42 -19.85 18.62 -9.29
2010-08-19 -10.35 -19.93 18.62 -9.47
2010-08-20 -20.72 -20.01 18.62 -9.65
2010-08-21 -17.71 -20.08 18.62 -9.82
2010-08-22 -13.57 -20.16 18.62 -9.98
2010-08-24 -8.45 -20.24 18.62 -10.29
2010-08-25 -11.85 -20.32 18.62 -10.44
2010-08-26 -5.75 -20.39 18.62 -10.58
2010-08-27 -17.26 -20.47 18.62 -10.71
2010-08-28 -14.08 -20.55 18.62 -10.84
2010-08-29 -10.11 -20.63 18.62 -10.97
2010-08-30 -13.57 -20.71 18.62 -11.09
2010-08-31 -10.59 -20.78 18.62 -11.20
2010-09-01 -7.49 -20.86 18.62 -11.31
2010-09-02 -10.40 -20.94 18.62 -11.41
2010-09-03 -14.19 -21.02 18.62 -11.50
2010-09-04 -16.18 -21.09 18.62 -11.59
2010-09-05 -22.40 -21.17 18.62 -11.67
2010-09-06 -15.34 -21.25 18.62 -11.75
2010-09-07 -17.09 -21.33 18.62 -11.82
2010-09-08 -21.82 -21.41 18.62 -11.89
2010-09-09 -17.08 -21.48 18.62 -11.95
2010-09-10 -16.80 -21.56 18.62 -12.01
2010-09-11 -11.46 -21.64 18.62 -12.06
2010-09-12 -15.22 -21.72 18.62 -12.10
2010-09-13 -18.23 -21.79 18.62 -12.14
2010-09-14 -14.89 -21.87 18.62 -12.17
2010-09-15 -20.60 -21.95 18.62 -12.20
2010-09-16 -18.49 -22.03 18.62 -12.22
2010-09-17 -18.02 -22.10 18.62 -12.24
2010-09-18 -14.20 -22.18 18.62 -12.25
2010-09-19 -25.14 -22.26 18.62 -12.25
2010-09-20 -25.42 -22.34 18.62 -12.25
2010-09-21 -17.91 -22.42 18.62 -12.25
2010-09-22 -18.05 -22.49 18.62 -12.24
2010-09-23 -20.00 -22.57 18.62 -12.23
2010-09-24 -18.13 -22.65 18.62 -12.21
2010-09-25 -19.58 -22.67 18.62 -12.19
2010-09-26 -12.09 -22.70 18.62 -12.16
2010-09-27 -23.00 -22.72 18.62 -12.13
2010-09-28 -19.21 -22.75 18.62 -12.09
2010-09-29 -21.02 -22.78 18.62 -12.05
2010-09-30 -9.87 -22.80 18.62 -12.00
2010-10-01 -14.90 -22.83 18.62 -11.95
2010-10-02 -26.07 -22.85 18.62 -11.90
2010-10-03 -14.90 -22.88 18.62 -11.84
2010-10-04 -13.31 -22.90 18.62 -11.78
2010-10-05 -17.29 -22.93 18.62 -11.72
2010-10-06 -8.86 -22.95 18.62 -11.65
2010-10-07 -11.50 -22.98 18.62 -11.58
2010-10-08 -10.45 -23.00 18.62 -11.50
2010-10-09 -12.76 -23.03 18.62 -11.42
2010-10-10 -18.99 -23.05 18.62 -11.34
2010-10-11 -13.03 -23.08 18.62 -11.26
2010-10-12 -11.80 -23.10 18.62 -11.17
2010-10-13 -15.94 -23.13 18.62 -11.08
2010-10-14 -16.10 -23.16 18.62 -10.99
2010-10-15 -12.45 -23.18 18.62 -10.89
2010-10-16 -15.69 -23.21 18.62 -10.79
2010-10-17 -18.60 -23.23 18.62 -10.69
2010-10-18 -17.53 -23.26 18.62 -10.59
2010-10-19 -18.13 -23.28 18.62 -10.48
2010-10-20 -12.97 -23.31 18.62 -10.38
2010-10-21 -15.67 -23.33 18.62 -10.27
2010-10-22 -14.82 -23.36 18.62 -10.16
2010-10-23 -10.01 -23.38 18.62 -10.04
2010-10-24 -10.53 -23.41 18.62 -9.93
2010-10-25 -18.69 -23.43 18.62 -9.81
2010-10-27 -13.61 -23.46 18.62 -9.58
2010-10-28 -22.55 -23.48 18.62 -9.46
2010-10-29 -16.73 -23.51 18.62 -9.34
2010-10-30 -19.72 -23.53 18.62 -9.22
2010-10-31 -16.33 -23.56 18.62 -9.10
2010-11-01 -20.22 -23.58 18.62 -8.97
2010-11-02 -18.55 -23.60 18.62 -8.85
2010-11-03 -18.19 -23.63 18.62 -8.73
2010-11-04 -19.07 -23.65 18.62 -8.60
2010-11-05 -22.44 -23.67 18.62 -8.48
2010-11-06 -16.82 -23.70 18.62 -8.35
2010-11-07 -18.29 -23.72 18.62 -8.23
2010-11-08 -19.31 -23.74 18.62 -8.10
2010-11-09 -22.09 -23.77 18.62 -7.97
2010-11-10 -12.90 -23.79 18.62 -7.85
2010-11-11 -13.73 -23.82 18.62 -7.72
2010-11-12 -13.49 -23.84 18.62 -7.60
2010-11-13 -17.01 -23.86 18.62 -7.47
2010-11-14 -19.08 -23.89 18.62 -7.35
2010-11-15 -15.52 -23.91 18.62 -7.22
2010-11-16 -14.52 -23.93 18.62 -7.10
2010-11-17 -11.35 -23.96 19.09 -6.98
2010-11-18 -11.33 -23.98 19.09 -6.85
2010-11-19 -12.54 -24.00 19.09 -6.73
2010-11-20 -6.71 -24.03 19.26 -6.61
2010-11-21 -5.30 -24.05 19.26 -6.49
2010-11-22 -12.05 -24.07 19.26 -6.37
2010-11-23 -11.14 -24.10 19.26 -6.25
2010-11-24 -10.93 -24.12 19.26 -6.13
2010-11-25 -16.50 -24.14 19.26 -6.01
2010-11-26 -8.53 -24.17 19.26 -5.90
2010-11-27 -9.38 -24.19 19.26 -5.78
2010-11-28 -16.71 -24.22 19.26 -5.67
2010-11-29 -12.27 -24.24 19.26 -5.55
2010-11-30 -2.67 -24.26 19.68 -5.44
2010-12-01 -10.46 -24.29 19.68 -5.33
2010-12-02 -16.67 -24.31 19.68 -5.21
2010-12-03 -9.33 -24.33 20.11 -5.10
2010-12-04 -0.73 -24.36 24.94 -4.99
2010-12-05 -2.15 -24.38 24.94 -4.89
2010-12-06 -1.11 -24.40 24.94 -4.78
2010-12-07 -2.03 -24.43 24.94 -4.67
2010-12-08 -1.02 -24.45 24.94 -4.57
2010-12-09 -2.35 -24.47 24.94 -4.46
2010-12-10 4.08 -24.50 24.94 -4.36
2010-12-11 6.47 -24.52 24.94 -4.26
2010-12-12 0.54 -24.54 24.94 -4.15
2010-12-13 -7.65 -24.57 24.94 -4.05
2010-12-14 -0.39 -24.59 24.94 -3.95
2010-12-15 -0.86 -24.62 24.94 -3.85
2010-12-16 -0.99 -24.64 24.94 -3.75
2010-12-17 -2.63 -24.66 24.94 -3.66
2010-12-18 -3.92 -24.69 24.94 -3.56
2010-12-19 -7.27 -24.71 24.94 -3.46
2010-12-20 -6.21 -24.73 24.94 -3.37
2010-12-21 -6.99 -24.76 24.94 -3.27
2010-12-22 -9.10 -24.78 24.94 -3.17
2010-12-23 0.11 -24.80 24.94 -3.08
2010-12-24 -1.99 -24.83 24.94 -2.99
2010-12-25 -3.83 -24.85 24.94 -2.89
2010-12-26 -2.49 -24.87 24.94 -2.80
2010-12-27 2.25 -24.90 24.94 -2.71
2010-12-28 -0.20 -24.92 24.94 -2.61
2010-12-29 -0.38 -24.94 24.94 -2.52
2010-12-30 0.58 -24.97 24.94 -2.43
2010-12-31 4.69 -24.99 24.94 -2.34
2011-01-01 -0.23 -25.02 24.94 -2.24
2011-01-02 -5.85 -25.04 24.94 -2.15
2011-01-03 -5.75 -25.06 24.94 -2.06
2011-01-04 1.91 -25.09 24.94 -1.97
2011-01-05 -1.74 -25.11 24.94 -1.87
2011-01-06 -3.88 -25.13 24.94 -1.78
2011-01-07 -0.42 -25.16 24.94 -1.69
2011-01-08 -2.38 -25.18 24.94 -1.59
2011-01-09 -1.21 -25.20 24.94 -1.50
2011-01-10 4.82 -25.23 24.94 -1.40
2011-01-11 7.86 -25.25 24.94 -1.31
2011-01-12 5.12 -25.27 24.94 -1.21
2011-01-13 -0.74 -25.30 24.94 -1.11
2011-01-14 -1.28 -25.32 24.94 -1.01
2011-01-15 3.99 -25.34 24.94 -0.92
2011-01-16 2.96 -25.37 24.94 -0.82
2011-01-17 -0.62 -25.39 24.94 -0.72
2011-01-18 -0.14 -25.42 24.94 -0.61
2011-01-19 -1.21 -25.44 24.94 -0.51
2011-01-20 1.79 -25.46 24.94 -0.41
2011-01-21 -3.57 -25.49 24.94 -0.30
2011-01-22 0.69 -25.51 24.94 -0.20
2011-01-23 -0.06 -25.53 24.94 -0.09
2011-01-24 -0.34 -25.56 24.94 0.02
2011-01-25 -0.17 -25.58 24.94 0.13
2011-01-26 -0.29 -25.60 24.94 0.24
2011-01-27 0.61 -25.63 24.94 0.35
2011-01-28 2.47 -25.65 24.94 0.47
2011-01-29 1.91 -25.67 24.94 0.59
2011-01-30 0.77 -25.70 24.94 0.70
2011-01-31 4.29 -25.72 24.94 0.82
2011-02-01 -0.15 -25.74 24.94 0.94
2011-02-03 -3.05 -25.77 24.94 1.19
2011-02-04 -0.94 -25.79 24.94 1.32
2011-02-05 1.69 -25.81 24.94 1.44
2011-02-06 4.73 -25.84 24.94 1.57
2011-02-08 8.45 -25.86 24.94 1.84
2011-02-09 6.00 -25.89 24.94 1.97
2011-02-10 1.21 -25.91 24.94 2.11
2011-02-11 5.65 -25.93 24.94 2.24
2011-02-12 5.71 -25.96 24.94 2.38
2011-02-13 3.86 -25.98 24.94 2.53
2011-02-14 3.20 -26.00 24.94 2.67
2011-02-15 1.85 -26.03 24.94 2.81
2011-02-16 -1.64 -26.05 24.94 2.96
2011-02-17 13.00 -26.07 24.94 3.11
2011-02-18 1.50 -26.10 24.94 3.26
2011-02-19 -0.37 -26.12 24.94 3.41
2011-02-20 1.55 -26.14 24.94 3.56
2011-02-21 -1.89 -26.17 24.94 3.72
2011-02-22 2.80 -26.19 24.94 3.88
2011-02-23 0.69 -26.21 24.94 4.03
2011-02-24 7.40 -26.24 24.94 4.19
2011-02-25 7.59 -26.26 24.94 4.35
2011-02-26 11.29 -26.29 24.94 4.52
2011-02-27 6.78 -26.31 24.94 4.68
2011-02-28 4.65 -26.33 24.94 4.84
2011-03-01 10.52 -26.36 24.94 5.01
2011-03-02 9.64 -26.38 24.94 5.18
2011-03-03 5.15 -26.40 24.94 5.34
2011-03-04 10.22 -26.43 24.94 5.51
2011-03-05 0.14 -26.45 24.46 5.68
2011-03-06 4.78 -26.47 24.46 5.85
2011-03-07 2.47 -26.50 24.46 6.03
2011-03-08 7.98 -26.52 24.46 6.20
2011-03-09 4.13 -26.54 24.46 6.37
2011-03-10 4.08 -26.57 24.46 6.54
2011-03-11 5.41 -26.59 24.46 6.72
2011-03-12 -1.89 -26.61 19.78 6.89
2011-03-13 2.15 -26.64 19.78 7.07
2011-03-14 -2.61 -26.66 18.17 7.24
2011-03-15 -5.78 -26.69 18.17 7.41
2011-03-16 -2.52 -26.71 18.17 7.59
2011-03-17 1.77 -26.73 18.17 7.76
2011-03-18 0.45 -26.76 18.17 7.94
2011-03-19 3.02 -26.78 18.17 8.11
2011-03-20 -0.50 -26.80 18.17 8.28
2011-03-21 0.17 -26.83 18.17 8.45
2011-03-22 0.17 -26.85 18.17 8.63
2011-03-23 -7.02 -26.87 13.63 8.80
2011-03-24 -8.22 -26.90 13.63 8.96
2011-03-25 1.88 -26.92 13.63 9.13
2011-03-26 -4.43 -26.94 13.63 9.30
2011-03-27 -7.39 -26.97 13.63 9.47
2011-03-28 -4.85 -26.99 13.63 9.63
2011-03-29 -6.01 -27.01 13.63 9.79
2011-03-30 -11.88 -27.04 13.63 9.95
2011-03-31 -4.46 -27.06 13.63 10.11
2011-04-01 -6.83 -27.09 13.63 10.27
2011-04-02 -4.83 -27.11 13.63 10.42
2011-04-03 -0.98 -27.13 13.63 10.58
2011-04-04 -4.67 -27.16 13.63 10.73
2011-04-05 -2.27 -27.18 13.63 10.87
2011-04-06 -13.90 -27.20 13.63 11.02
2011-04-07 -8.38 -27.23 13.63 11.16
2011-04-08 -18.94 -27.25 13.63 11.30
2011-04-09 -7.65 -27.27 13.63 11.44
2011-04-10 -6.43 -27.30 13.63 11.57
2011-04-11 -9.06 -27.32 13.63 11.70
2011-04-12 -10.41 -27.34 13.63 11.83
2011-04-13 0.88 -27.37 13.63 11.95
2011-04-14 3.47 -27.39 13.63 12.07
2011-04-15 3.30 -27.41 13.63 12.18
2011-04-16 -3.09 -27.44 13.63 12.29
2011-04-17 1.02 -27.46 13.63 12.40
2011-04-18 -2.26 -27.49 13.63 12.50
2011-04-19 -0.67 -27.51 13.63 12.60
2011-04-20 -0.92 -27.53 13.63 12.70
2011-04-21 0.28 -27.56 13.63 12.79
2011-04-22 -6.11 -27.58 13.63 12.87
2011-04-23 -13.44 -27.60 13.63 12.95
2011-04-24 -3.76 -27.53 13.63 13.03
2011-04-25 -9.94 -27.45 13.63 13.10
2011-04-26 -5.46 -27.38 13.63 13.16
2011-04-27 -0.01 -27.30 13.63 13.22
2011-04-28 7.38 -27.23 13.63 13.28
2011-04-29 -3.03 -27.15 13.63 13.33
2011-04-30 -4.49 -27.08 13.63 13.37
2011-05-01 -9.89 -27.00 13.63 13.41
2011-05-02 -10.75 -26.92 13.63 13.44
2011-05-03 11.66 -26.85 13.63 13.47
2011-05-04 -8.51 -26.77 13.63 13.49
2011-05-05 2.91 -26.70 13.63 13.51
2011-05-06 -5.13 -26.62 13.63 13.52
2011-05-07 2.67 -26.55 13.63 13.52
2011-05-08 -0.18 -26.47 13.63 13.52
2011-05-09 3.58 -26.40 13.63 13.51
2011-05-10 4.38 -26.32 13.63 13.50
2011-05-11 -2.30 -26.25 13.63 13.48
2011-05-12 -3.68 -26.17 13.63 13.45
2011-05-13 0.69 -26.09 13.63 13.42
2011-05-14 3.00 -26.02 13.63 13.38
2011-05-15 -3.46 -25.94 13.63 13.33
2011-05-16 -3.49 -25.87 13.63 13.28
2011-05-17 -3.44 -25.79 13.63 13.22
2011-05-18 3.70 -25.72 13.63 13.16
2011-05-19 4.49 -25.64 13.63 13.09
2011-05-20 -4.05 -25.57 13.63 13.01
2011-05-21 -3.73 -25.49 13.63 12.92
2011-05-22 4.51 -25.42 13.63 12.83
2011-05-23 2.24 -25.34 13.63 12.74
2011-05-24 6.59 -25.27 13.63 12.63
2011-05-25 -0.18 -25.19 13.63 12.52
2011-05-26 2.78 -25.11 13.63 12.41
2011-05-27 -6.20 -25.04 13.63 12.29
2011-05-28 -0.16 -24.96 13.63 12.16
2011-05-29 -5.91 -24.89 13.63 12.02
2011-05-30 2.62 -24.81 13.63 11.88
2011-05-31 -6.23 -24.74 13.63 11.74
2011-06-01 8.01 -24.66 13.63 11.58
2011-06-02 -7.91 -24.59 13.63 11.42
2011-06-03 -8.48 -24.51 13.63 11.26
2011-06-04 -3.58 -24.44 13.63 11.09
2011-06-05 3.89 -24.36 13.78 10.91
2011-06-06 -2.06 -24.29 13.78 10.73
2011-06-07 0.85 -24.21 13.78 10.54
2011-06-08 1.58 -24.13 13.78 10.35
2011-06-09 -0.60 -24.06 13.78 10.15
2011-06-10 4.94 -23.98 13.78 9.94
2011-06-11 1.47 -23.91 13.78 9.73
2011-06-12 5.65 -23.83 13.78 9.51
2011-06-13 4.10 -23.76 13.78 9.29
2011-06-14 2.95 -23.68 13.78 9.07
2011-06-15 -3.07 -23.61 13.78 8.84
2011-06-16 -4.47 -23.53 13.78 8.60
2011-06-17 1.42 -23.46 13.78 8.36
2011-06-18 0.17 -23.38 13.78 8.12
2011-06-19 3.97 -23.30 13.78 7.87
2011-06-20 -4.78 -23.23 13.78 7.62
2011-06-21 -3.41 -23.15 13.78 7.36
2011-06-22 -4.01 -23.08 13.78 7.10
2011-06-23 1.64 -23.00 13.78 6.83
2011-06-24 0.87 -22.93 13.78 6.56
2011-06-25 0.90 -22.85 13.78 6.29
2011-06-26 0.55 -22.78 13.78 6.01
2011-06-27 -0.45 -22.70 13.78 5.73
2011-06-28 -3.87 -22.63 13.78 5.45
2011-06-29 -10.07 -22.55 13.78 5.17
2011-06-30 -3.61 -22.48 13.78 4.88
2011-07-01 -12.07 -22.40 13.78 4.59
2011-07-02 -5.17 -22.32 13.78 4.29
2011-07-03 -5.60 -22.25 13.78 4.00
2011-07-04 -5.33 -22.17 13.78 3.70
2011-07-05 -8.18 -22.10 13.78 3.40
2011-07-06 -2.65 -22.02 13.78 3.10
2011-07-07 -9.86 -21.95 13.78 2.80
2011-07-08 3.70 -21.87 13.78 2.49
2011-07-09 6.43 -21.80 13.78 2.19
2011-07-10 -1.73 -21.72 13.78 1.88
2011-07-11 -2.01 -21.65 13.78 1.57
2011-07-12 3.48 -21.57 13.78 1.27
2011-07-13 -0.27 -21.50 13.78 0.96
2011-07-14 -7.09 -21.42 13.78 0.65
2011-07-15 -6.79 -21.34 13.78 0.34
2011-07-16 -4.90 -21.27 13.78 0.03
2011-07-17 -3.37 -21.19 13.78 -0.28
2011-07-18 -0.79 -21.12 13.78 -0.59
2011-07-19 -8.77 -21.04 13.78 -0.89
2011-07-20 -2.88 -20.97 13.78 -1.20
2011-07-22 -13.20 -20.94 13.78 -1.81
2011-07-23 -9.77 -20.90 13.78 -2.12
2011-07-24 -7.17 -20.87 13.78 -2.42
2011-07-25 -10.78 -20.84 13.78 -2.72
2011-07-26 -8.13 -20.81 13.78 -3.02
2011-07-27 -1.05 -20.78 13.78 -3.32
2011-08-01 -17.16 -20.74 13.78 -4.77
2011-08-02 -11.56 -20.71 13.78 -5.05
2011-08-03 -15.98 -20.68 13.78 -5.33
2011-08-04 -8.60 -20.65 13.78 -5.60
2011-08-05 -5.92 -20.62 13.78 -5.87
2011-08-06 -11.14 -20.59 13.78 -6.14
2011-08-07 -18.34 -20.55 13.78 -6.41
2011-08-08 -9.15 -20.52 13.78 -6.67
2011-08-09 -6.58 -20.49 13.78 -6.92
